color_bbox_mean_r,color_bbox_mean_g,color_poly_mean_b,color_poly_std_b,hsv_bbox_mean_h,hsv_bbox_mean_s,hsv_poly_mean_h,hsv_poly_mean_s,hsv_poly_mean_v,color_bbox_entropy,color_poly_entropy,ir_cluster,level2_class
73.972,45.894,123.607,16.531,131.311,93.118,30.145,16.966,131.666,6.116,5.574,141.8,Dark oil
73.875,45.917,123.56,16.301,129.215,92.384,31.564,16.88,131.615,6.108,5.578,141.81,Dark oil
73.871,45.923,123.513,16.138,128.585,92.335,29.99,16.802,131.551,6.121,5.567,141.82,Dark oil
73.914,45.874,123.584,16.347,130.998,92.941,29.412,17.2,131.761,6.108,5.563,141.82,Dark oil
73.854,45.933,123.535,16.089,129.823,92.089,29.803,16.883,131.653,6.121,5.575,141.8,Dark oil
73.781,45.991,123.518,16.181,128.454,92.031,29.126,17.069,131.757,6.115,5.55,141.82,Dark oil
73.836,45.873,123.542,16.396,132.369,92.437,32.655,17.159,131.652,6.108,5.555,141.83,Dark oil
73.826,45.86,123.358,16.055,128.401,92.578,32.137,17.006,131.505,6.113,5.561,141.79,Dark oil
73.944,45.855,123.42,16.073,129.885,92.801,28.993,17.008,131.582,6.116,5.554,141.81,Dark oil
73.935,45.837,123.602,16.065,131.871,93.094,30.196,16.981,131.752,6.114,5.572,141.82,Dark oil
73.878,45.922,123.401,16.271,130.859,92.171,30.154,17.335,131.687,6.12,5.586,141.79,Dark oil
73.906,45.848,123.366,16.301,130.65,92.478,31.385,17.482,131.708,6.121,5.574,141.81,Dark oil
73.844,45.852,123.621,16.133,133.253,92.6,31.168,16.988,131.73,6.116,5.559,141.82,Dark oil
73.857,45.824,123.652,16.32,129.911,92.594,31.172,16.893,131.706,6.128,5.58,141.79,Dark oil
73.919,45.938,123.456,16.304,129.37,92.586,30.857,17.071,131.6,6.123,5.554,141.78,Dark oil
73.865,45.867,123.777,16.187,132.11,92.613,30.023,16.654,131.737,6.108,5.577,141.82,Dark oil
73.909,45.935,123.627,16.245,129.483,92.268,29.148,16.87,131.724,6.117,5.573,141.78,Dark oil
73.89,45.92,123.72,16.257,130.13,92.26,30.966,16.553,131.65,6.115,5.58,141.79,Dark oil
73.849,45.845,124.053,16.28,131.297,92.828,30.023,16.004,131.632,6.11,5.541,141.81,Dark oil
73.862,45.92,123.883,16.162,130.369,92.252,28.447,16.037,131.619,6.13,5.573,141.79,Dark oil
73.873,45.925,123.622,16.202,128.477,92.415,31.283,16.87,131.756,6.112,5.562,141.78,Dark oil
74.001,45.899,123.863,16.209,129.008,93.056,29.082,16.768,131.915,6.117,5.579,141.82,Dark oil
73.946,45.881,123.664,16.461,128.366,92.637,29.433,16.853,131.755,6.112,5.583,141.81,Dark oil
